image,error
IMG000569.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG000570.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG000571.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG000572.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG000573.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG000574.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000575.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000636.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000640.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000642.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000650.jpeg,Has 0 positions active: []
IMG000651.jpeg,Has 0 positions active: []
IMG000660.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000661.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000662.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000663.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000664.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000665.jpeg,"Has 3 positions active: ['foot', 'tibia', 'fibula']"
IMG000666.jpeg,"Has 3 positions active: ['foot', 'tibia', 'fibula']"
IMG000667.jpeg,"Has 3 positions active: ['foot', 'tibia', 'fibula']"
IMG000668.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000669.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000670.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000673.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000683.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000690.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000716.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000717.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000718.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000719.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000791.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000792.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000793.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000794.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000795.jpeg,Has 0 positions active: []
IMG000804.jpeg,Has 0 positions active: []
IMG000805.jpeg,Has 0 positions active: []
IMG000806.jpeg,Has 0 positions active: []
IMG000816.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000817.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000818.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000827.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000828.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000833.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000834.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000843.jpeg,Has 0 positions active: []
IMG000844.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000895.jpeg,"Has 2 positions active: ['tibia', 'femur']"
IMG000899.jpeg,Has 0 positions active: []
IMG000913.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000914.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000915.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000916.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000925.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG000936.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000937.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000938.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000941.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG000942.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG000943.jpeg,"Has 2 positions active: ['fibula', 'femur']"
IMG000944.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000945.jpeg,"Has 2 positions active: ['fibula', 'femur']"
IMG000946.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000962.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000964.jpeg,"Has 2 positions active: ['ulna', 'humerus']"
IMG000969.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000970.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG000994.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000995.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG000997.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG000998.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001003.jpeg,"Has 3 positions active: ['ulna', 'radius', 'humerus']"
IMG001006.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG001007.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001081.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001082.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001083.jpeg,"Has 2 positions active: ['tibia', 'femur']"
IMG001087.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001088.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001089.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001092.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001093.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001094.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001099.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001104.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001105.jpeg,"Has 2 positions active: ['tibia', 'femur']"
IMG001106.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001110.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001119.jpeg,Has 0 positions active: []
IMG001120.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001126.jpeg,Has 0 positions active: []
IMG001127.jpeg,Has 0 positions active: []
IMG001131.jpeg,Has 0 positions active: []
IMG001132.jpeg,Has 0 positions active: []
IMG001133.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001142.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001143.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001156.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001182.jpeg,Has 0 positions active: []
IMG001183.jpeg,Has 0 positions active: []
IMG001186.jpeg,Has 0 positions active: []
IMG001187.jpeg,Has 0 positions active: []
IMG001190.jpeg,Has 0 positions active: []
IMG001191.jpeg,Has 0 positions active: []
IMG001194.jpeg,Has 0 positions active: []
IMG001195.jpeg,Has 0 positions active: []
IMG001196.jpeg,Has 0 positions active: []
IMG001197.jpeg,Has 0 positions active: []
IMG001198.jpeg,Has 0 positions active: []
IMG001199.jpeg,Has 0 positions active: []
IMG001203.jpeg,Has 0 positions active: []
IMG001204.jpeg,Has 0 positions active: []
IMG001205.jpeg,Has 0 positions active: []
IMG001207.jpeg,Has 0 positions active: []
IMG001208.jpeg,Has 0 positions active: []
IMG001209.jpeg,Has 0 positions active: []
IMG001210.jpeg,Has 0 positions active: []
IMG001220.jpeg,Has 0 positions active: []
IMG001221.jpeg,Has 0 positions active: []
IMG001222.jpeg,Has 0 positions active: []
IMG001228.jpeg,Has 0 positions active: []
IMG001229.jpeg,Has 0 positions active: []
IMG001230.jpeg,Has 0 positions active: []
IMG001233.jpeg,Has 0 positions active: []
IMG001234.jpeg,Has 0 positions active: []
IMG001236.jpeg,Has 0 positions active: []
IMG001237.jpeg,Has 0 positions active: []
IMG001238.jpeg,Has 0 positions active: []
IMG001239.jpeg,Has 0 positions active: []
IMG001241.jpeg,Has 0 positions active: []
IMG001242.jpeg,Has 0 positions active: []
IMG001243.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG001244.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG001245.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001246.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001276.jpeg,"Has 2 diseases active: ['osteochondroma', 'synovial osteochondroma']"
IMG001276.jpeg,Has 0 positions active: []
IMG001281.jpeg,"Has 3 positions active: ['ulna', 'radius', 'humerus']"
IMG001283.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001290.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001301.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001302.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001305.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001306.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001344.jpeg,"Has 2 positions active: ['tibia', 'femur']"
IMG001346.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001347.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001348.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001356.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG001359.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG001360.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001382.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG001383.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG001391.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001416.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001424.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001437.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001438.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001440.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG001441.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG001445.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG001464.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001465.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001473.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001477.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001478.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001501.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001504.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001514.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001517.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001527.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001528.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001529.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001530.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001555.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001563.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001564.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001565.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001584.jpeg,Has 0 positions active: []
IMG001585.jpeg,Has 0 positions active: []
IMG001590.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001591.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001592.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001595.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001596.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001605.jpeg,"Has 2 positions active: ['ulna', 'radius']"
IMG001614.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001616.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001636.jpeg,"Has 3 positions active: ['ulna', 'radius', 'humerus']"
IMG001637.jpeg,"Has 2 positions active: ['radius', 'humerus']"
IMG001638.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001642.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001662.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001663.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001669.jpeg,"Has 2 positions active: ['tibia', 'femur']"
IMG001686.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001687.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001688.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001692.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001693.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001695.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001696.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001706.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001711.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001712.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001715.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001796.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001797.jpeg,"Has 2 positions active: ['tibia', 'fibula']"
IMG001805.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001812.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001820.jpeg,"Has 2 positions active: ['fibula', 'femur']"
IMG001827.jpeg,Has 0 positions active: []
IMG001833.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001834.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001835.jpeg,"Has 2 positions active: ['femur', 'pelvis']"
IMG001858.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001861.jpeg,"Has 2 positions active: ['tibia', 'femur']"
IMG001862.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001863.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001864.jpeg,"Has 3 positions active: ['tibia', 'fibula', 'femur']"
IMG001868.jpeg,Missing mask file
IMG001868.jpeg,Has 0 diseases active: []
IMG001868.jpeg,Has 0 positions active: []
IMG001869.jpeg,Missing mask file
IMG001869.jpeg,Has 0 diseases active: []
IMG001869.jpeg,Has 0 positions active: []
IMG001870.jpeg,Missing mask file
IMG001870.jpeg,Has 0 diseases active: []
IMG001870.jpeg,Has 0 positions active: []
IMG001871.jpeg,Missing mask file
IMG001871.jpeg,Has 0 diseases active: []
IMG001871.jpeg,Has 0 positions active: []
IMG001872.jpeg,Missing mask file
IMG001872.jpeg,Has 0 diseases active: []
IMG001872.jpeg,Has 0 positions active: []
IMG001873.jpeg,Missing mask file
IMG001873.jpeg,Has 0 diseases active: []
IMG001873.jpeg,Has 0 positions active: []
IMG001874.jpeg,Missing mask file
IMG001874.jpeg,Has 0 diseases active: []
IMG001874.jpeg,Has 0 positions active: []
IMG001875.jpeg,Missing mask file
IMG001875.jpeg,Has 0 diseases active: []
IMG001875.jpeg,Has 0 positions active: []
IMG001876.jpeg,Missing mask file
IMG001876.jpeg,Has 0 diseases active: []
IMG001876.jpeg,Has 0 positions active: []
IMG001877.jpeg,Missing mask file
IMG001877.jpeg,Has 0 diseases active: []
IMG001877.jpeg,Has 0 positions active: []
IMG001878.jpeg,Missing mask file
IMG001878.jpeg,Has 0 diseases active: []
IMG001878.jpeg,Has 0 positions active: []
IMG001879.jpeg,Missing mask file
IMG001879.jpeg,Has 0 diseases active: []
IMG001879.jpeg,Has 0 positions active: []
IMG001880.jpeg,Missing mask file
IMG001880.jpeg,Has 0 diseases active: []
IMG001880.jpeg,Has 0 positions active: []
IMG001881.jpeg,Missing mask file
IMG001881.jpeg,Has 0 diseases active: []
IMG001881.jpeg,Has 0 positions active: []
IMG001882.jpeg,Missing mask file
IMG001882.jpeg,Has 0 diseases active: []
IMG001882.jpeg,Has 0 positions active: []
IMG001883.jpeg,Missing mask file
IMG001883.jpeg,Has 0 diseases active: []
IMG001883.jpeg,Has 0 positions active: []
IMG001884.jpeg,Missing mask file
IMG001884.jpeg,Has 0 diseases active: []
IMG001884.jpeg,Has 0 positions active: []
IMG001885.jpeg,Missing mask file
IMG001885.jpeg,Has 0 diseases active: []
IMG001885.jpeg,Has 0 positions active: []
IMG001886.jpeg,Missing mask file
IMG001886.jpeg,Has 0 diseases active: []
IMG001886.jpeg,Has 0 positions active: []
IMG001887.jpeg,Missing mask file
IMG001887.jpeg,Has 0 diseases active: []
IMG001887.jpeg,Has 0 positions active: []
IMG001888.jpeg,Missing mask file
IMG001888.jpeg,Has 0 diseases active: []
IMG001888.jpeg,Has 0 positions active: []
IMG001889.jpeg,Missing mask file
IMG001889.jpeg,Has 0 diseases active: []
IMG001889.jpeg,Has 0 positions active: []
IMG001890.jpeg,Missing mask file
IMG001890.jpeg,Has 0 diseases active: []
IMG001890.jpeg,Has 0 positions active: []
IMG001891.jpeg,Missing mask file
IMG001891.jpeg,Has 0 diseases active: []
IMG001891.jpeg,Has 0 positions active: []
IMG001892.jpeg,Missing mask file
IMG001892.jpeg,Has 0 diseases active: []
IMG001892.jpeg,Has 0 positions active: []
IMG001893.jpeg,Missing mask file
IMG001893.jpeg,Has 0 diseases active: []
IMG001893.jpeg,Has 0 positions active: []
IMG001894.jpeg,Missing mask file
IMG001894.jpeg,Has 0 diseases active: []
IMG001894.jpeg,Has 0 positions active: []
IMG001895.jpeg,Missing mask file
IMG001895.jpeg,Has 0 diseases active: []
IMG001895.jpeg,Has 0 positions active: []
IMG001896.jpeg,Missing mask file
IMG001896.jpeg,Has 0 diseases active: []
IMG001896.jpeg,Has 0 positions active: []
IMG001897.jpeg,Missing mask file
IMG001897.jpeg,Has 0 diseases active: []
IMG001897.jpeg,Has 0 positions active: []
IMG001898.jpeg,Missing mask file
IMG001898.jpeg,Has 0 diseases active: []
IMG001898.jpeg,Has 0 positions active: []
IMG001899.jpeg,Missing mask file
IMG001899.jpeg,Has 0 diseases active: []
IMG001899.jpeg,Has 0 positions active: []
IMG001900.jpeg,Missing mask file
IMG001900.jpeg,Has 0 diseases active: []
IMG001900.jpeg,Has 0 positions active: []
IMG001901.jpeg,Missing mask file
IMG001901.jpeg,Has 0 diseases active: []
IMG001901.jpeg,Has 0 positions active: []
IMG001902.jpeg,Missing mask file
IMG001902.jpeg,Has 0 diseases active: []
IMG001902.jpeg,Has 0 positions active: []
IMG001903.jpeg,Missing mask file
IMG001903.jpeg,Has 0 diseases active: []
IMG001903.jpeg,Has 0 positions active: []
IMG001904.jpeg,Missing mask file
IMG001904.jpeg,Has 0 diseases active: []
IMG001904.jpeg,Has 0 positions active: []
IMG001905.jpeg,Missing mask file
IMG001905.jpeg,Has 0 diseases active: []
IMG001905.jpeg,Has 0 positions active: []
IMG001906.jpeg,Missing mask file
IMG001906.jpeg,Has 0 diseases active: []
IMG001906.jpeg,Has 0 positions active: []
IMG001907.jpeg,Missing mask file
IMG001907.jpeg,Has 0 diseases active: []
IMG001907.jpeg,Has 0 positions active: []
IMG001908.jpeg,Missing mask file
IMG001908.jpeg,Has 0 diseases active: []
IMG001908.jpeg,Has 0 positions active: []
IMG001909.jpeg,Missing mask file
IMG001909.jpeg,Has 0 diseases active: []
IMG001909.jpeg,Has 0 positions active: []
IMG001910.jpeg,Missing mask file
IMG001910.jpeg,Has 0 diseases active: []
IMG001910.jpeg,Has 0 positions active: []
IMG001911.jpeg,Missing mask file
IMG001911.jpeg,Has 0 diseases active: []
IMG001911.jpeg,Has 0 positions active: []
IMG001912.jpeg,Missing mask file
IMG001912.jpeg,Has 0 diseases active: []
IMG001912.jpeg,Has 0 positions active: []
IMG001913.jpeg,Missing mask file
IMG001913.jpeg,Has 0 diseases active: []
IMG001913.jpeg,Has 0 positions active: []
IMG001914.jpeg,Missing mask file
IMG001914.jpeg,Has 0 diseases active: []
IMG001914.jpeg,Has 0 positions active: []
IMG001915.jpeg,Missing mask file
IMG001915.jpeg,Has 0 diseases active: []
IMG001915.jpeg,Has 0 positions active: []
IMG001916.jpeg,Missing mask file
IMG001916.jpeg,Has 0 diseases active: []
IMG001916.jpeg,Has 0 positions active: []
IMG001917.jpeg,Missing mask file
IMG001917.jpeg,Has 0 diseases active: []
IMG001917.jpeg,Has 0 positions active: []
IMG001918.jpeg,Missing mask file
IMG001918.jpeg,Has 0 diseases active: []
IMG001918.jpeg,Has 0 positions active: []
IMG001919.jpeg,Missing mask file
IMG001919.jpeg,Has 0 diseases active: []
IMG001919.jpeg,Has 0 positions active: []
IMG001920.jpeg,Missing mask file
IMG001920.jpeg,Has 0 diseases active: []
IMG001920.jpeg,Has 0 positions active: []
IMG001921.jpeg,Missing mask file
IMG001921.jpeg,Has 0 diseases active: []
IMG001921.jpeg,Has 0 positions active: []
IMG001922.jpeg,Missing mask file
IMG001922.jpeg,Has 0 diseases active: []
IMG001922.jpeg,Has 0 positions active: []
IMG001923.jpeg,Missing mask file
IMG001923.jpeg,Has 0 diseases active: []
IMG001923.jpeg,Has 0 positions active: []
IMG001924.jpeg,Missing mask file
IMG001924.jpeg,Has 0 diseases active: []
IMG001924.jpeg,Has 0 positions active: []
IMG001925.jpeg,Missing mask file
IMG001925.jpeg,Has 0 diseases active: []
IMG001925.jpeg,Has 0 positions active: []
IMG001926.jpeg,Missing mask file
IMG001926.jpeg,Has 0 diseases active: []
IMG001926.jpeg,Has 0 positions active: []
IMG001927.jpeg,Missing mask file
IMG001927.jpeg,Has 0 diseases active: []
IMG001927.jpeg,Has 0 positions active: []
IMG001928.jpeg,Missing mask file
IMG001928.jpeg,Has 0 diseases active: []
IMG001928.jpeg,Has 0 positions active: []
IMG001929.jpeg,Missing mask file
IMG001929.jpeg,Has 0 diseases active: []
IMG001929.jpeg,Has 0 positions active: []
IMG001930.jpeg,Missing mask file
IMG001930.jpeg,Has 0 diseases active: []
IMG001930.jpeg,Has 0 positions active: []
IMG001931.jpeg,Missing mask file
IMG001931.jpeg,Has 0 diseases active: []
IMG001931.jpeg,Has 0 positions active: []
IMG001932.jpeg,Missing mask file
IMG001932.jpeg,Has 0 diseases active: []
IMG001932.jpeg,Has 0 positions active: []
IMG001933.jpeg,Missing mask file
IMG001933.jpeg,Has 0 diseases active: []
IMG001933.jpeg,Has 0 positions active: []
IMG001934.jpeg,Missing mask file
IMG001934.jpeg,Has 0 diseases active: []
IMG001934.jpeg,Has 0 positions active: []
IMG001935.jpeg,Missing mask file
IMG001935.jpeg,Has 0 diseases active: []
IMG001935.jpeg,Has 0 positions active: []
IMG001936.jpeg,Missing mask file
IMG001936.jpeg,Has 0 diseases active: []
IMG001936.jpeg,Has 0 positions active: []
IMG001937.jpeg,Missing mask file
IMG001937.jpeg,Has 0 diseases active: []
IMG001937.jpeg,Has 0 positions active: []
IMG001938.jpeg,Missing mask file
IMG001938.jpeg,Has 0 diseases active: []
IMG001938.jpeg,Has 0 positions active: []
